title,info_area,price_line
집주인알파리움1단지(주상복합) 101동,"아파트123B/96m², 10/18층, 남서향
37. 입주가능, 화랑공원뷰, 풀옵션","매매22억 5,000"
집주인알파리움1단지(주상복합) 101동,"아파트123B/96m², 10/18층, 남서향
37 짧은세안고 풀옵션 일조량풍부 화랑공원뷰","매매22억 5,000"
집주인알파리움1단지(주상복합) 102동,"아파트180/142m², 중/18층, 남향
특올수리, 정남향, 전망최고, 세안고",매매35억
집주인알파리움1단지(주상복합) 103동,"아파트156A/123m², 저/18층, 남향
남향. 정원뷰.시스템에어컨.지하창고유.주택상태깔끔",전세15억
집주인알파리움1단지(주상복합) 101동,"아파트123B/96m², 중/18층, 남서향
37. 남서향, 단지정원, 화랑공원전망","매매22억 5,000"
집주인알파리움1단지(주상복합) 102동,"아파트180/142m², 중/18층, 남향
54 방4.최근 화이트인테리어.계절창고.짧은세안고매매",매매35억
집주인알파리움1단지(주상복합) 101동,"아파트123B/96m², 고/18층, 남동향
입주가능.입주협의. 전망좋음. 채광좋음. 깔끔한집",월세1억/450
집주인알파리움1단지(주상복합) 101동,"아파트123B/96m², 고/18층, 남동향
37. 융자없음, 깨끗하게 관리 잘 된 집, 오래 거주 가능",월세1억/450
집주인알파리움1단지(주상복합) 103동,"아파트156A/123m², 중/18층, 남향
47 남향 단지조경조망 채광좋음 풀시스템에어컨 입주가능",매매30억
집주인알파리움1단지(주상복합) 104동,"아파트140/110m², 중/19층, 서향
판교공원전망좋은집 판교ic이용편리 정상입주","매매27억 5,000"
집주인알파리움1단지(주상복합) 103동,"아파트163C/129m², 고/18층, 남향
49 세안고 방4개 공원전망최고 채광좋음 풀시스템에어컨",매매30억
집주인알파리움1단지(주상복합) 102동,"아파트180/142m², 저/18층, 남향
입주협의 방4 정남향 조망채광굿 주택상태매우깨끗",매매30억
집주인알파리움1단지(주상복합) 105동,"아파트180/142m², 중/18층, 남향
빠른입주가 입주협의 정남향 특올수리 생활소음조용 판교역초역세권",매매34억
집주인알파리움1단지(주상복합) 104동,"아파트156A/123m², 중/19층, 남향
47A. 특인테리어, 붙박이장 잘됨, 보증금 조정가능",월세1억/650
집주인알파리움1단지(주상복합) 104동,"아파트156A/123m², 중/19층, 남향
입주협의 올수리 볕잘드는남향 시스템에어컨 풀옵션 창고 식기세척기",월세1억/650
집주인알파리움1단지(주상복합) 103동,"아파트156A/123m², 저/18층, 남향
남향, 정원뷰 조용한 집, 인테리어 깔끔, 융자없음, 오래거주가능",전세15억
집주인알파리움1단지(주상복합) 105동,"아파트180/142m², 중/18층, 남향
알파리움1단지 로얄동 로얄층 컨디션 좋은 리모델링 세대",매매34억
알파리움1단지(주상복합) 101동,"아파트123B/96m², 17/18층, 남동향
37 전망,창고,9월14일이후입주 ,판교역세권",월세1억/450
집주인알파리움1단지(주상복합) 105동,"아파트180/142m², 중/18층, 남향
판교 백현동 알파리움 아파트 매매 판교역 신분당선과 현대백화점 최고 입지",매매34억
집주인알파리움1단지(주상복합) 103동,"아파트163C/129m², 고/18층, 남동향
49 방4 맞바람구조 트인전망 강남권 판교에투자하세요",매매30억
