매물명,가격,유형,스펙,중개사
판교푸르지오월드마크(주상복합) 2동,28억,아파트,"168/134m², 4/20층, 남서향",부동산뱅크 제공
판교푸르지오월드마크(주상복합) 2동,28억,아파트,"168/134m², 4/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,29억,아파트,"168/134m², 6/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,28억,아파트,"168/134m², 4/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,27억,아파트,"160A/127m², 중/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,35억,아파트,"160B/127m², 저/20층, 남동향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,29억,아파트,"160A/127m², 중/20층, 동향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,29억,아파트,"168/134m², 고/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,29억,아파트,"168/134m², 6/20층, 남향",부동산뱅크 제공
판교푸르지오월드마크(주상복합) 1동,29억,아파트,"168/134m², 고/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,29억,아파트,"168/134m², 고/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,18억,아파트,"160A/127m², 고/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,35억,아파트,"160B/127m², 저/20층, 남동향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,29억,아파트,"160A/127m², 저/20층, 남동향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,"17억 5,000",아파트,"160A/127m², 고/20층, 남서향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,"17억 5,000",아파트,"160A/127m², 고/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,29억,아파트,"168/134m², 저/20층, 남향",부동산뱅크 제공
판교푸르지오월드마크(주상복합) 2동,28억,아파트,"168/134m², 4/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 1동,18억,아파트,"168/134m², 중/20층, 남향",매경부동산 제공
판교푸르지오월드마크(주상복합) 2동,29억,아파트,"168/134m², 저/20층, 남향",매경부동산 제공
